epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9901,0.12981,1.94295,0.37722,0.00106,0.17048,0.0006,0.00022,0.20246,inf,3.75036,0.0697144,0.00235326,0.00235326
2,69.2848,0.13471,1.62846,0.39749,6e-05,0.01452,3e-05,1e-05,nan,nan,nan,0.0387503,0.00472247,0.00472247
3,100.375,0.13356,1.58523,0.40623,0.00072,0.08036,0.00038,0.00012,0.21262,inf,1.33776,0.0077635,0.00706905,0.00706905
4,129.729,0.13133,1.53225,0.39184,0.25051,0.06098,0.00023,6e-05,nan,nan,nan,0.007077,0.007077,0.007077
5,159.437,0.12477,1.44028,0.38655,0.04694,0.11867,0.02514,0.00835,0.1521,14.1761,0.53258,0.00703903,0.00703903,0.00703903
6,190.265,0.12336,1.35429,0.38254,0.66928,0.1096,0.1387,0.05049,0.15592,5.78009,0.50695,0.00700006,0.00700006,0.00700006
7,219.892,0.11987,1.2695,0.37558,0.25331,0.12407,0.11179,0.03698,0.16631,3.6278,0.60364,0.00695955,0.00695955,0.00695955
8,249.557,0.11737,1.25986,0.36364,0.15155,0.30517,0.14033,0.04875,0.14783,3.349,0.47022,0.0069195,0.0069195,0.0069195
9,280.658,0.11723,1.24506,0.36162,0.42122,0.491,0.43198,0.19232,0.11412,1.5249,0.36201,0.00687992,0.00687992,0.00687992
10,310.276,0.11578,1.18294,0.36097,0.46887,0.46515,0.41743,0.18975,0.11894,1.41745,0.36324,0.00683866,0.00683866,0.00683866
11,339.983,0.11358,1.131,0.358,0.57211,0.3914,0.34619,0.15901,0.11625,1.64597,0.36623,0.00679978,0.00679978,0.00679978
12,370.402,0.11204,1.11818,0.35374,0.32251,0.40113,0.2914,0.14628,0.1219,2.00196,0.39339,0.00676133,0.00676133,0.00676133
13,400.149,0.11125,1.11231,0.35823,0.53311,0.50735,0.51188,0.21903,0.11484,1.27439,0.35453,0.00672054,0.00672054,0.00672054
14,429.791,0.11087,1.08156,0.34981,0.30868,0.49538,0.37703,0.15692,0.12263,2.21025,0.37035,0.00668277,0.00668277,0.00668277
15,459.539,0.10922,1.04549,0.34508,0.62174,0.59561,0.615,0.32153,0.10466,1.00462,0.33574,0.00664221,0.00664221,0.00664221
16,490.291,0.11175,1.03624,0.35491,0.53286,0.47869,0.49621,0.22309,0.11448,1.22131,0.37216,0.00660509,0.00660509,0.00660509
17,519.72,0.10947,1.03015,0.34786,0.54517,0.52247,0.54113,0.25851,0.12085,1.11482,0.3819,0.00656477,0.00656477,0.00656477
18,549.249,0.11016,1.00924,0.34884,0.54743,0.37364,0.38724,0.17757,0.11907,1.66634,0.38162,0.00652444,0.00652444,0.00652444
19,580.074,0.10792,0.98609,0.34137,0.56889,0.53098,0.51322,0.22911,0.11515,1.14127,0.36986,0.00648411,0.00648411,0.00648411
20,609.664,0.10663,0.97218,0.33902,0.45943,0.1259,0.09673,0.04171,0.17245,4.10374,0.57658,0.00644378,0.00644378,0.00644378
21,639.155,0.10748,0.95869,0.34429,0.63296,0.56051,0.6255,0.30731,0.11119,1.06827,0.34744,0.00640799,0.00640799,0.00640799
22,669.429,0.10494,0.9379,0.33718,0.64155,0.60901,0.60934,0.28848,0.10434,1.10625,0.33497,0.00636789,0.00636789,0.00636789
